V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards
196,2764,8767,129,265424,39635,334,4585,898,99,100048,118023,2040,6877076,530929,8210,125707,22388,1747,0,-60
197,4799,10178,152,417680,47393,408,6912,1312,122,136985,295653,5734,9037079,1475943,23612,199813,42555,4523,0,-60
198,7101,18583,299,616867,93012,858,11023,2295,233,162246,502326,9734,10290589,2169265,36784,272393,59533,7068,10,-79
199,5942,21613,376,497472,102617,1e3,9890,2331,254,107073,357706,6778,6698566,1448889,24962,188178,40346,4968,0,-70
200,6574,29356,456,588788,132773,1266,12693,2756,342,137968,334368,6394,8963387,1429101,23832,217210,44297,4896,0,0
1,0,9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
2,0,6153,6,0,0,0,0,0,0,10577,631061,9260,2133,9030,1706,5,44,3,0,-10
3,353,29954,335,94,387,45,0,6,0,18207,1081737,15677,3556,15708,2934,6,55,9,10,-19
4,633,45708,584,167,719,79,0,6,0,12316,731717,10546,2390,10691,1992,5,37,6,0,-40
5,726,58536,698,268,1057,104,0,12,0,10619,628400,9290,3561,11412,1708,32,58,9,0,-40
6,741,55422,725,346,1207,108,6,17,0,23339,1309667,19940,30066,47179,5107,424,443,60,10,-49
7,839,56491,768,1330,2132,140,18,19,6,16176,897014,13735,23647,36040,3455,345,342,45,10,-59
8,604,41085,553,1209,1803,104,16,18,6,9958,552681,8446,15197,22787,2111,218,220,31,0,-50
9,643,48444,614,1769,2439,122,22,23,12,10372,557284,8567,38527,28980,2576,590,323,46,10,-59
10,401,26272,361,1835,1478,82,22,16,6,8805,459568,7193,48732,28830,1980,743,349,43,10,-39
11,328,20746,293,2352,1407,60,32,17,6,5707,297963,4672,33978,19398,1245,511,238,26,0,-30
12,361,26129,333,3690,1984,73,43,24,12,6067,291537,4663,61844,22464,1187,879,363,28,0,-30
13,404,27918,363,5285,2319,77,58,32,17,18680,763030,11993,382510,78544,4211,6265,1561,125,10,-39
14,655,32703,455,16999,3585,115,210,60,7,14370,575448,9080,304484,60294,2979,4864,1223,86,0,-40
15,810,45565,578,29863,5595,154,302,82,12,13553,512554,8048,317361,56358,2458,4906,1181,85,10,-59
16,516,24387,336,16808,2978,79,189,53,6,15581,434026,6876,559385,59395,2079,8800,1712,86,0,-40
17,784,34156,431,39646,4955,108,413,97,12,22437,480905,7503,982974,80065,2862,15812,2803,117,0,-40
18,1160,39009,513,72069,6975,144,781,162,18,63374,1042029,16240,3195518,209916,6493,51170,9013,289,0,-60
19,2726,63553,877,180205,14098,264,2170,426,28,124235,1535576,24067,6898124,408065,11388,110762,19199,567,10,-69
20,4325,66506,923,318167,18938,310,3793,725,21,85054,1027210,16137,4734868,296886,8167,77029,13641,425,0,-70
21,4989,80674,1091,404068,28467,408,5020,899,33,107298,904828,14258,6459057,320132,7452,104242,17330,427,10,-79
22,3950,42642,597,313831,16505,222,3831,699,20,75876,664602,10621,4482968,304027,6646,79392,13717,433,10,-79
23,2813,30457,427,231592,14900,189,2950,555,20,55279,429776,6823,3341596,211275,4313,59044,10204,305,10,-69
24,2047,19980,279,174340,10777,127,2203,412,16,43199,277094,4341,2682464,146228,2781,46197,7638,207,10,-59
25,1590,12918,182,138548,7500,87,1711,309,10,35541,180772,2797,2283997,106130,1840,38620,6155,140,0,-50
26,1983,16022,204,185821,10561,106,2376,399,16,76155,199696,3174,5158444,169947,2770,83537,12784,210,0,-50
27,3585,17967,233,311239,14516,139,4182,686,24,123722,501767,8006,8028649,447428,7499,146579,23949,621,10,-69
28,4375,21471,303,379942,20590,204,5147,914,23,83928,375106,5892,5384820,335206,5410,102023,16648,472,10,-69
29,3110,16973,233,276243,16795,156,3812,676,22,59492,235243,3654,3860804,218290,3371,71488,11392,300,10,-69
30,2207,10974,154,200661,11291,104,2688,465,14,45321,151879,2350,2983007,152428,2244,53904,8390,199,0,-50
31,2622,13534,171,249301,15558,125,3510,564,21,99246,172372,2537,6772512,243850,3445,113922,17088,311,0,-60
32,4694,15316,192,406546,21061,164,5863,936,28,137048,431127,6787,8964949,632737,10161,178915,29480,906,10,-69
33,4905,18441,258,427692,29172,272,6358,1142,33,91670,321867,5077,5924583,473358,7896,123583,20712,687,0,-60
34,5517,25766,332,515482,44637,375,8238,1388,49,126984,296023,4729,8473980,490305,7473,162374,26148,695,10,-69
35,4648,14040,197,406837,25395,220,6016,1055,33,86567,255946,4100,5648914,460925,7192,118498,19940,667,10,-69
36,3219,11497,167,289833,22639,202,4429,802,30,61091,168974,2689,4016238,316323,4771,82655,14057,444,0,-60
37,3658,14650,190,344272,31973,252,5588,955,39,108176,176018,2933,7371549,398174,5672,135576,21849,539,10,-69
38,3876,8273,122,347823,20153,169,4904,866,25,74749,153662,2550,5007213,367199,5625,98933,16595,533,10,-69
39,2770,6885,102,257505,18037,159,3689,672,25,52884,101441,1652,3558547,249932,3678,69029,11750,367,10,-69
40,1964,4690,70,186153,12799,111,2599,478,18,41296,65873,1055,2807433,171397,2382,52446,8527,244,0,-50
41,2369,5832,81,233324,17604,133,3406,575,26,95872,79895,1198,6669852,261788,3558,112280,17636,324,10,-69
42,3363,3680,54,308072,12898,105,3948,682,15,66579,68680,1074,4602029,232674,3012,81638,13010,284,10,-69
43,2455,3085,47,237052,11457,88,3034,528,13,45562,45708,703,3155037,156776,1974,55960,8742,186,0,-60
44,2752,3951,59,277375,16023,110,3807,613,20,97777,55619,798,6868264,228619,2375,114821,17459,261,0,-60
45,4720,4676,67,419827,20675,130,6068,976,26,132738,137004,2583,9019498,625185,8376,183876,30496,886,0,-60
46,6921,8579,134,617301,41975,296,9956,1667,54,156261,233627,4459,10284872,1093969,16226,249062,42972,2270,0,-60
47,8923,15183,242,753638,75471,607,14593,2511,116,175651,351804,6827,11039599,1714295,25752,335883,59291,3594,0,-70
48,10774,24265,387,845901,120403,1031,20501,3603,203,199633,567003,10994,11754608,2322012,38131,469291,81212,5458,10,-79
49,7506,24668,423,575364,111453,1045,17193,3223,194,132358,419532,8049,7619221,1547956,26490,328842,56021,4085,10,-79
50,4962,19037,321,388600,79360,762,12354,2278,152,88536,265990,5075,5180870,991228,17050,210956,35913,2498,10,-79
51,3311,12386,212,266664,51570,498,8038,1478,103,62454,172612,3297,3754683,673925,11634,138734,23921,1593,0,-60
52,3754,15327,241,319979,66238,607,9763,1683,124,110277,196935,3840,7240195,897271,14605,181809,32833,2259,0,-70
53,5674,17415,274,455844,76818,738,11923,2134,155,147055,495626,9460,9272501,1837352,32741,297504,57131,5157,0,-70
54,7944,31385,501,643973,125382,1296,17501,3315,274,174515,846109,15474,10457137,2383312,47842,423242,77936,8281,0,-80
55,10119,53074,841,773383,179177,2039,25398,4760,461,199464,1253287,22432,11214933,2716028,62326,574896,99675,12017,10,-89
56,7450,54412,866,547865,134088,1753,21128,3989,423,131957,865926,15456,7285819,1776213,42821,400993,68360,8572,10,-89
57,4945,39628,619,371853,91670,1233,15075,2785,318,88854,543496,9630,4998065,1150808,27419,255989,43820,5165,10,-89
58,3318,25381,394,257420,59791,799,9754,1799,200,62846,351359,6179,3648361,784280,17894,166200,28940,3166,10,-79
59,2334,16375,254,189998,40429,524,6329,1187,124,47439,230597,4059,2863062,538963,11996,111732,19647,1945,0,-70
60,2760,20364,290,238127,53949,633,7765,1368,151,101099,257260,4640,6707694,713754,13329,160392,28158,2302,0,-70
61,4832,22976,334,399204,62460,719,9996,1789,171,142191,646248,11710,8940950,1732100,32930,259927,51441,5820,0,-70
62,7290,40712,617,604564,112535,1292,15011,2904,308,171914,1108610,19435,10241060,2324994,49069,364711,70965,9081,0,-80
