,V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards,policy
1022,23,774,12376.0,173.0,56882.0,2957.0,47.0,654.0,119.0,6,24136.0,229488.0,3470.0,1414093.0,60881.0,1256.0,22506.0,3396.0,67.0,0,-50,0.0
1023,24,1198,17740.0,224.0,106279.0,5038.0,67.0,1166.0,195.0,12,33296.0,250137.0,3849.0,2053560.0,77395.0,1418.0,32229.0,4866.0,84.0,0,-50,0.0
1024,25,1741,21304.0,268.0,145764.0,6901.0,81.0,1782.0,291.0,17,97867.0,543401.0,8347.0,6237148.0,228737.0,4142.0,102124.0,15678.0,276.0,10,-59,0.0
1025,26,3378,23437.0,320.0,283206.0,10455.0,115.0,3473.0,588.0,12,69000.0,409100.0,6169.0,4352250.0,173935.0,3062.0,72708.0,11441.0,218.0,10,-69,0.0
1026,27,2539,18509.0,246.0,224409.0,8690.0,90.0,2703.0,463.0,11,45714.0,256645.0,3838.0,2907402.0,112892.0,1938.0,48763.0,7539.0,138.0,10,-59,0.0
1027,28,1706,11971.0,160.0,154876.0,5840.0,59.0,1843.0,310.0,7,37297.0,165441.0,2448.0,2432227.0,83544.0,1335.0,40352.0,6026.0,96.0,10,-59,0.0
1028,29,1367,7714.0,102.0,125004.0,4246.0,42.0,1489.0,244.0,6,31885.0,108714.0,1580.0,2121049.0,64590.0,917.0,34745.0,5067.0,71.0,0,-50,0.0
1029,30,1747,9596.0,116.0,171765.0,6180.0,55.0,2106.0,320.0,12,67920.0,121724.0,1674.0,4642141.0,112365.0,1211.0,74076.0,10943.0,114.0,10,-59,0.0
1030,31,2388,5672.0,73.0,216001.0,5406.0,40.0,2591.0,420.0,7,50707.0,105340.0,1500.0,3431817.0,98352.0,1124.0,56978.0,8591.0,108.0,10,-59,0.0
1031,32,1858,4726.0,62.0,177881.0,4844.0,35.0,2102.0,345.0,7,35137.0,69250.0,984.0,2385769.0,67700.0,750.0,39846.0,5914.0,76.0,10,-59,0.0
1032,33,1305,3208.0,44.0,126365.0,3463.0,26.0,1495.0,245.0,6,30245.0,45604.0,639.0,2082707.0,51987.0,523.0,34546.0,4999.0,56.0,10,-59,0.0
1033,34,1102,2120.0,30.0,106247.0,2626.0,20.0,1265.0,204.0,6,25754.0,30345.0,419.0,1784284.0,40843.0,384.0,28937.0,4116.0,39.0,10,-59,0.0
1034,35,936,1411.0,20.0,90993.0,2055.0,14.0,1062.0,170.0,6,20732.0,20496.0,283.0,1448248.0,31653.0,284.0,23417.0,3268.0,30.0,0,-50,0.0
1035,36,1161,1783.0,26.0,124780.0,3015.0,21.0,1460.0,216.0,12,45220.0,26138.0,314.0,3188660.0,61875.0,474.0,50769.0,7357.0,58.0,0,-50,0.0
1036,37,2121,2161.0,30.0,199034.0,4729.0,32.0,2553.0,389.0,17,98597.0,67330.0,850.0,6887934.0,174352.0,1565.0,118520.0,17081.0,192.0,0,-50,0.0
1037,38,4396,4129.0,54.0,407335.0,11002.0,68.0,5517.0,844.0,25,131033.0,113741.0,1552.0,9024238.0,288038.0,3443.0,167840.0,24194.0,369.0,10,-69,0.0
1038,39,4684,4886.0,61.0,429995.0,13496.0,93.0,5970.0,942.0,14,86870.0,80772.0,1139.0,5958963.0,208426.0,2481.0,114744.0,16381.0,268.0,10,-69,0.0
1039,40,3238,3690.0,50.0,305050.0,10523.0,71.0,4308.0,669.0,13,60865.0,51785.0,726.0,4192841.0,139877.0,1593.0,79397.0,11558.0,182.0,0,-60,0.0
1040,41,3661,4592.0,59.0,360447.0,14460.0,90.0,5396.0,792.0,22,107640.0,63267.0,863.0,7479175.0,219864.0,2157.0,132849.0,19617.0,264.0,10,-69,0.0
1041,42,3859,2910.0,42.0,353816.0,10795.0,64.0,4791.0,772.0,11,73786.0,54719.0,801.0,5069495.0,194880.0,2038.0,97093.0,14537.0,249.0,0,-60,0.0
1042,43,4400,4205.0,59.0,437435.0,17233.0,99.0,6341.0,960.0,20,109315.0,66308.0,955.0,7578341.0,259854.0,2563.0,138610.0,20696.0,338.0,10,-69,0.0
1043,44,3973,3002.0,43.0,363765.0,12838.0,79.0,5068.0,826.0,14,74848.0,53792.0,824.0,5125290.0,223021.0,2357.0,101580.0,15163.0,305.0,10,-69,0.0
1044,45,2780,2422.0,36.0,263647.0,11046.0,70.0,3787.0,617.0,15,54007.0,36270.0,552.0,3711293.0,153516.0,1582.0,72260.0,10975.0,216.0,10,-69,0.0
1045,46,2003,1677.0,26.0,193195.0,7852.0,51.0,2713.0,447.0,12,42041.0,24699.0,353.0,2896718.0,108995.0,1089.0,54246.0,8112.0,144.0,0,-50,0.0
1046,47,2414,2133.0,32.0,241374.0,10974.0,61.0,3543.0,544.0,18,95602.0,36410.0,450.0,6720708.0,186434.0,1716.0,114052.0,16786.0,211.0,10,-69,0.0
1047,48,3356,1629.0,18.0,310957.0,9030.0,53.0,4017.0,649.0,11,66280.0,30117.0,407.0,4630798.0,161041.0,1598.0,82654.0,12269.0,198.0,0,-60,0.0
1048,49,3888,2337.0,27.0,395964.0,14353.0,79.0,5360.0,809.0,18,87494.0,36888.0,498.0,6117165.0,203842.0,1958.0,107679.0,16027.0,225.0,10,-69,0.0
1049,50,3206,1671.0,24.0,298775.0,10151.0,58.0,3976.0,644.0,11,62076.0,31167.0,457.0,4283328.0,179423.0,1860.0,82027.0,12406.0,238.0,10,-69,0.0
1050,51,2300,1396.0,20.0,221680.0,8859.0,55.0,3052.0,502.0,11,46654.0,21874.0,319.0,3226257.0,126078.0,1261.0,60519.0,8897.0,166.0,10,-69,0.0
1051,52,1722,1004.0,16.0,168090.0,6429.0,38.0,2260.0,363.0,8,37709.0,15764.0,222.0,2617303.0,90824.0,885.0,47557.0,6880.0,116.0,10,-59,0.0
1052,53,1385,721.0,13.0,134925.0,4625.0,29.0,1762.0,280.0,7,31834.0,11415.0,145.0,2217536.0,68346.0,641.0,38803.0,5570.0,79.0,0,-50,0.0
1053,54,1757,948.0,16.0,181122.0,6643.0,39.0,2416.0,360.0,12,70610.0,19242.0,186.0,4984177.0,120196.0,989.0,81720.0,11928.0,116.0,10,-59,0.0
1054,55,2475,847.0,9.0,231402.0,5784.0,31.0,2868.0,462.0,7,51885.0,15785.0,181.0,3628752.0,104704.0,953.0,61906.0,9184.0,110.0,10,-59,0.0
1055,56,1905,711.0,9.0,188546.0,5159.0,32.0,2290.0,372.0,6,35839.0,10779.0,119.0,2512167.0,71432.0,645.0,42920.0,6224.0,73.0,0,-50,0.0
1056,57,2150,921.0,12.0,222274.0,7250.0,39.0,2894.0,434.0,12,92088.0,20971.0,195.0,6497213.0,136243.0,1007.0,105031.0,15104.0,124.0,10,-59,0.0
1057,58,3217,911.0,11.0,298838.0,6513.0,31.0,3663.0,580.0,7,64066.0,16826.0,176.0,4500355.0,116358.0,967.0,76419.0,11054.0,118.0,0,-60,0.0
1058,59,3740,1311.0,15.0,383991.0,10374.0,48.0,4920.0,725.0,13,81131.0,21944.0,243.0,5685916.0,149493.0,1255.0,97086.0,14381.0,150.0,0,-60,0.0
1059,60,4689,1702.0,24.0,414874.0,13633.0,64.0,6179.0,927.0,19,122818.0,53101.0,845.0,8334518.0,400119.0,4774.0,182163.0,27022.0,549.0,0,-60,0.0
1060,61,6646,3244.0,51.0,569544.0,27071.0,166.0,9946.0,1521.0,36,150514.0,91340.0,1714.0,9895716.0,723205.0,9067.0,264630.0,39605.0,1102.0,0,-60,0.0
1061,62,8617,5847.0,97.0,719468.0,51782.0,339.0,15163.0,2315.0,69,172779.0,139400.0,2963.0,10948244.0,1142597.0,15098.0,356864.0,54154.0,2373.0,0,-60,0.0
1062,63,10564,9486.0,174.0,828796.0,82113.0,597.0,21633.0,3317.0,131,194654.0,230597.0,5255.0,11669698.0,1983584.0,27847.0,490003.0,77975.0,4175.0,0,-70,0.0
1063,64,12364,15512.0,294.0,905110.0,135131.0,1078.0,30062.0,4760.0,232,221877.0,381552.0,8262.0,12375264.0,2509803.0,39350.0,692772.0,105123.0,6666.0,0,-70,0.0
1064,65,14420,25631.0,470.0,972125.0,189336.0,1674.0,40355.0,6605.0,378,249419.0,615730.0,12719.0,12787244.0,2847100.0,52621.0,958239.0,137225.0,10167.0,10,-79,0.0
1065,66,9500,26733.0,491.0,629274.0,140541.0,1469.0,34910.0,5498.0,360,164051.0,450581.0,9086.0,8214990.0,1856730.0,36631.0,637240.0,93360.0,6962.0,0,-70,0.0
1066,67,10373,36612.0,598.0,729999.0,173043.0,1857.0,43282.0,6464.0,477,183342.0,432756.0,8754.0,10225513.0,1932161.0,36920.0,568081.0,89256.0,6657.0,0,-80,0.0
1067,68,11766,37973.0,660.0,753381.0,177913.0,2047.0,42203.0,6882.0,522,219796.0,1065267.0,19351.0,11549695.0,2507499.0,63914.0,878331.0,131761.0,13854.0,10,-99,0.0
1068,69,8267,45428.0,741.0,561604.0,124257.0,1790.0,32372.0,5331.0,492,145182.0,757018.0,13630.0,7502275.0,1661113.0,45015.0,589296.0,91272.0,10269.0,0,-80,0.0
1069,70,9064,59354.0,894.0,661067.0,154919.0,2280.0,40454.0,6300.0,675,166571.0,662428.0,12159.0,9541876.0,1680119.0,42420.0,524225.0,86154.0,8968.0,10,-99,0.0
1070,71,6255,31400.0,508.0,461845.0,86222.0,1266.0,20697.0,3617.0,349,111660.0,523349.0,9509.0,6293578.0,1174067.0,31346.0,382900.0,61465.0,7359.0,0,-80,0.0
1071,72,6903,42354.0,625.0,551266.0,109594.0,1598.0,26163.0,4262.0,478,145059.0,577400.0,10362.0,8801657.0,1333442.0,33287.0,405984.0,64562.0,7734.0,10,-89,0.0
1072,73,5366,26660.0,424.0,423170.0,67265.0,976.0,15576.0,2672.0,295,98816.0,475018.0,8400.0,5856570.0,972516.0,24867.0,295236.0,46291.0,6054.0,10,-79,0.0
