bio10_5,bio10_prMay,lat,lon,lambda,N
-0.86802465,-2.17686005,2985880.134,2042535.591,0.839030918,0
-0.944344705,-1.55161871,2985880.134,2045535.591,0.784874676,0
-1.214621595,-0.779118761,2985880.134,2048535.591,0.781715922,0
-1.319032758,-0.84236507,2985880.134,2051535.591,0.781715113,0
-1.15703355,-1.695796563,2985880.134,2054535.591,0.782730095,0
-1.043893777,-1.904891032,2985880.134,2057535.591,0.790077991,0
-0.908562677,-2.083195943,2985880.134,2060535.591,0.820036454,0
-1.091394605,-0.753305016,2985880.134,2063535.591,0.781720032,3
-1.149286619,-0.505327925,2985880.134,2066535.591,0.781714808,0
-1.120577096,-1.047342778,2985880.134,2069535.591,0.78173858,0
-0.93569702,-1.91851821,2985880.134,2072535.591,0.798958001,0
-0.930600335,-1.526556989,2985880.134,2075535.591,0.784384752,0
-0.871943475,-1.749763156,2985880.134,2078535.591,0.794929269,0
-0.884446681,-1.365520289,2985880.134,2081535.591,0.783464164,0
-1.165368588,-0.087488892,2985880.134,2084535.591,0.781714318,0
-1.132237565,-0.681929725,2985880.134,2087535.591,0.781716317,0
-1.091291817,-1.108871776,2985880.134,2090535.591,0.781768338,0
-0.972841714,-1.587833513,2985880.134,2093535.591,0.784440554,0
-1.0256761,-0.752434092,2985880.134,2096535.591,0.781723751,0
-1.114300645,-0.526152653,2985880.134,2099535.591,0.781715082,0
-1.136688149,-0.358694725,2985880.134,2102535.591,0.781714487,0
-1.164764571,-0.260062928,2985880.134,2105535.591,0.781714367,0
-1.10061726,-0.644143852,2985880.134,2108535.591,0.781716583,0
-1.076289433,-0.479255591,2985880.134,2111535.591,0.78171517,0
-1.1158809,-0.134021879,2985880.134,2114535.591,0.781714348,0
-1.129370341,-0.140727912,2985880.134,2117535.591,0.781714344,0
-1.099397359,-0.301139973,2985880.134,2120535.591,0.781714522,0
-1.047701705,-0.763415848,2985880.134,2123535.591,0.781721448,0
-1.163286047,-1.742412484,2982880.134,1997535.591,0.783105137,0
-1.066047847,-1.686274863,2982880.134,2000535.591,0.783922395,0
