idstate,idaction,qvalue
166,1,986.4425410094599
167,0,985.0210669927843
167,1,985.0081924490403
168,0,987.329528009604
168,1,988.540638307079
169,0,993.8488918044885
169,1,997.5562714438029
170,0,990.3403855231169
170,1,992.9217619942502
171,0,982.250537000116
171,1,978.0265261398595
172,0,975.6471721161506
172,1,976.6238876244503
173,0,991.4241681761894
173,1,992.0732880029585
174,0,974.4757716591048
174,1,975.8598966632956
175,0,990.0918599232159
175,1,991.4692943974004
176,0,984.202318661754
176,1,982.6476755542153
177,0,985.0616447192838
177,1,986.0031657279367
178,0,986.8644234461512
178,1,985.6650297674784
179,0,988.8603449984993
179,1,988.6783431927894
180,0,986.1316419732632
180,1,986.0019660653359
181,0,978.2515939967268
181,1,980.2929412255248
182,0,752.900361325108
182,1,757.9647167091598
183,0,982.9868430521037
183,1,981.5161261350756
184,0,988.21220648793485
184,1,984.9172952561521
185,0,986.7966468902783
185,1,983.1918767439116
186,0,987.9168951349068
186,1,988.2671319256856
187,0,993.2561074139516
187,1,994.8469808145751
188,0,987.2593423999763
188,1,982.1998039468776
189,0,980.1694995815463
189,1,981.2792542496927
190,0,988.959424296502
190,1,988.6347452796912
191,0,974.7472935942997
191,1,975.7134443357869
192,0,985.1225854250285
192,1,985.7707660179158
193,0,978.1709329045965
193,1,969.1601718356656
194,0,977.9954512049845
194,1,975.41077720822625
195,0,971.3609831295869
195,1,971.0166593551144
196,0,991.7766803093148
196,1,990.9205604021404
197,0,957.1360552830554
197,1,966.4976118634937
198,0,988.9428849988785
198,1,989.1390517866572
199,0,989.2541848932907
199,1,993.0590573198972
200,0,988.0139096204047
200,1,989.871119204597
201,0,989.8803277956271
201,1,988.9772583057073
202,0,976.6375465399411
202,1,979.5764033340163
203,0,981.4466221966076
203,1,982.6572377414308
204,0,990.384950928461
204,1,989.524130175539
205,0,982.7783089369979
205,1,980.6008844670883
206,0,987.7674640070013
206,1,988.1508864269872
207,0,988.1287056415689
207,1,985.9639922856461
208,0,988.8914542483063
208,1,988.3047727532179
209,0,976.0281545396195
209,1,980.6626572162918
210,0,990.180598121112
210,1,990.8377815794429
211,0,986.7705003234394
211,1,986.2681049444884
212,0,988.1170547666801
212,1,986.2870331347319
213,0,976.0564766985276
213,1,981.088825776879
214,0,991.2198968553084
214,1,990.5500688012066
215,0,974.6818199185536
215,1,974.1878570910253
216,0,994.6024977731389
216,1,994.07908444148
217,0,994.6403239423048
217,1,993.6027110271041
218,0,992.307629114041
218,1,992.0809538733292
219,0,980.4562368111443
219,1,979.615016383076
220,0,985.1321701401924
220,1,987.8714784729264
221,0,991.1871417385029
221,1,990.8384695032463
222,0,988.0736498479519
222,1,989.2546590893653
223,0,980.915744498694
223,1,984.1525780061595
224,0,992.6474226896696
224,1,993.0994356269728
225,0,996.2285692213615
225,1,996.3254586033605
226,0,989.3046212014499
226,1,985.9854448139658
227,0,988.496654935929
227,1,988.2186988791568
228,0,980.7288024912667
228,1,977.965359062548
229,0,981.4821161841414
229,1,976.6242662776986
230,0,984.9351459777572
230,1,987.3271893599024
231,0,983.9122092791966
231,1,986.5310463955643
232,0,981.9117803667256
232,1,978.4748059757997
233,0,983.5518791714451
233,1,996.6181444162227
234,0,985.5765374194854
234,1,984.4134487308992
235,0,987.9202654314931
235,1,985.7195382869138
236,0,992.4362183454818
236,1,991.4827716847437
237,0,988.983450901466
237,1,989.0347909470607
238,0,984.1051472802171
238,1,988.2135501650588
239,0,984.4019990742331
